symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned,IsFuelDiesel,IsFuelGas,std,turbo
3,150,saab,two,hatchback,fwd,front,99.1,1.006235090985325,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,12.368421052631579,26,18150.0,Medium,0,1,0,1
2,104,saab,four,sedan,fwd,front,99.1,1.006235090985325,66.5,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500.0,12.368421052631579,26,18620.0,Medium,0,1,0,1
2,83,subaru,two,hatchback,fwd,front,93.7,-1.4040536589765902,63.4,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900.0,7.580645161290323,36,5118.0,Low,0,1,1,0
2,83,subaru,two,hatchback,fwd,front,93.7,-1.3228991556108698,63.6,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,9.038461538461538,31,7053.0,Low,0,1,1,0
2,83,subaru,two,hatchback,4wd,front,93.3,-1.3715918576303014,63.8,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400.0,9.038461538461538,31,7603.0,Low,0,1,1,0
0,102,subaru,four,sedan,fwd,front,97.2,-0.1786206581542021,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800.0,7.34375,37,7126.0,Low,0,1,1,0
0,102,subaru,four,sedan,fwd,front,97.2,-0.1786206581542021,65.4,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400.0,8.392857142857142,33,7775.0,Low,0,1,1,0
0,102,subaru,four,sedan,fwd,front,97.2,-0.1786206581542021,65.4,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200.0,9.038461538461538,32,9960.0,Low,0,1,1,0
0,102,subaru,four,sedan,4wd,front,97.0,-0.1786206581542021,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,9.791666666666666,25,9233.0,Low,0,1,1,0
0,102,subaru,four,sedan,4wd,front,97.0,-0.1786206581542021,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800.0,9.791666666666666,29,11259.0,Low,0,1,0,1
0,89,subaru,four,wagon,fwd,front,97.0,-0.05688890310562042,65.4,53.0,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,8.392857142857142,32,7463.0,Low,0,1,1,0
0,89,subaru,four,wagon,fwd,front,97.0,-0.05688890310562042,65.4,53.0,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200.0,9.4,31,10198.0,Low,0,1,1,0
0,85,subaru,four,wagon,4wd,front,96.9,-0.048773452769047924,65.4,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800.0,10.217391304347826,29,8013.0,Low,0,1,1,0
0,85,subaru,four,wagon,4wd,front,96.9,-0.048773452769047924,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800.0,10.217391304347826,23,11694.0,Low,0,1,0,1
1,87,toyota,two,hatchback,fwd,front,95.7,-1.2579755529182925,63.6,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,6.714285714285714,39,5348.0,Low,0,1,1,0
1,87,toyota,two,hatchback,fwd,front,95.7,-1.2579755529182925,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,7.580645161290323,38,6338.0,Low,0,1,1,0
1,74,toyota,four,hatchback,fwd,front,95.7,-1.2579755529182925,63.6,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,7.580645161290323,38,6488.0,Low,0,1,1,0
0,77,toyota,four,wagon,fwd,front,95.7,-0.3652760158953608,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,7.580645161290323,37,6918.0,Low,0,1,1,0
0,81,toyota,four,wagon,4wd,front,95.7,-0.3652760158953608,63.6,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,8.703703703703704,32,7898.0,Low,0,1,1,0
0,91,toyota,four,wagon,4wd,front,95.7,-0.3652760158953608,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800.0,8.703703703703704,32,8778.0,Low,0,1,1,0
0,91,toyota,four,sedan,fwd,front,95.7,-0.6412013273388105,64.4,53.0,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,7.833333333333333,37,6938.0,Low,0,1,1,0
0,91,toyota,four,hatchback,fwd,front,95.7,-0.6412013273388105,64.4,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,7.833333333333333,37,7198.0,Low,0,1,1,0
0,91,toyota,four,sedan,fwd,front,95.7,-0.6412013273388105,64.4,53.0,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500.0,6.911764705882353,36,7898.0,Low,1,0,1,0
0,91,toyota,four,hatchback,fwd,front,95.7,-0.6412013273388105,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500.0,6.184210526315789,47,7788.0,Low,1,0,1,0
0,91,toyota,four,sedan,fwd,front,95.7,-0.6412013273388105,64.4,53.0,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,6.184210526315789,47,7738.0,Low,0,1,1,0
0,91,toyota,four,hatchback,fwd,front,95.7,-0.6412013273388105,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.392857142857142,34,8358.0,Low,0,1,1,0
0,91,toyota,four,sedan,fwd,front,95.7,-0.6412013273388105,64.4,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.392857142857142,34,9258.0,Low,0,1,1,0
1,168,toyota,two,sedan,rwd,front,94.5,-0.446430519261083,64.0,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.10344827586207,34,8058.0,Low,0,1,1,0
1,168,toyota,two,hatchback,rwd,front,94.5,-0.446430519261083,64.0,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800.0,8.10344827586207,34,8238.0,Low,0,1,1,0
1,168,toyota,two,sedan,rwd,front,94.5,-0.446430519261083,64.0,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600.0,9.038461538461538,29,9298.0,Low,0,1,1,0
1,168,toyota,two,hatchback,rwd,front,94.5,-0.446430519261083,64.0,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600.0,9.038461538461538,29,9538.0,Low,0,1,1,0
2,134,toyota,two,hardtop,rwd,front,98.4,0.1622282559818264,65.6,52.0,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.791666666666666,30,8449.0,Low,0,1,1,0
2,134,toyota,two,hardtop,rwd,front,98.4,0.1622282559818264,65.6,52.0,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.791666666666666,30,9639.0,Low,0,1,1,0
2,134,toyota,two,hatchback,rwd,front,98.4,0.1622282559818264,65.6,52.0,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.791666666666666,30,9989.0,Low,0,1,1,0
2,134,toyota,two,hardtop,rwd,front,98.4,0.1622282559818264,65.6,52.0,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.791666666666666,30,11199.0,Low,0,1,1,0
2,134,toyota,two,hatchback,rwd,front,98.4,0.1622282559818264,65.6,52.0,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.791666666666666,30,11549.0,Low,0,1,1,0
2,134,toyota,two,convertible,rwd,front,98.4,0.1622282559818264,65.6,53.0,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800.0,9.791666666666666,30,17669.0,Low,0,1,1,0
-1,65,toyota,four,sedan,fwd,front,102.4,0.11353555396239264,66.5,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.10344827586207,34,8948.0,Low,0,1,1,0
-1,65,toyota,four,sedan,fwd,front,102.4,0.11353555396239264,66.5,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500.0,7.833333333333333,33,10698.0,Low,1,0,0,1
-1,65,toyota,four,hatchback,fwd,front,102.4,0.11353555396239264,66.5,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.703703703703704,32,9988.0,Low,0,1,1,0
-1,65,toyota,four,sedan,fwd,front,102.4,0.11353555396239264,66.5,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.703703703703704,32,10898.0,Low,0,1,1,0
-1,65,toyota,four,hatchback,fwd,front,102.4,0.11353555396239264,66.5,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200.0,8.703703703703704,32,11248.0,Low,0,1,1,0
3,197,toyota,two,hatchback,rwd,front,102.9,0.7546561305515909,67.7,52.0,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200.0,11.75,24,16558.0,Medium,0,1,1,0
3,197,toyota,two,hatchback,rwd,front,102.9,0.7546561305515909,67.7,52.0,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200.0,12.368421052631579,24,15998.0,Medium,0,1,1,0
-1,90,toyota,four,sedan,rwd,front,104.5,1.1036204950241926,66.5,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200.0,11.75,24,15690.0,Medium,0,1,1,0
-1,122,toyota,four,wagon,rwd,front,104.5,1.1036204950241926,66.5,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200.0,12.368421052631579,24,15750.0,Medium,0,1,1,0
2,122,volkswagen,two,sedan,fwd,front,97.3,-0.2029670091639199,65.5,55.7,2261,ohc,four,97,idi,3.01,3.4,23.0,52,4800.0,6.351351351351352,46,7775.0,Low,1,0,1,0
2,122,volkswagen,two,sedan,fwd,front,97.3,-0.2029670091639199,65.5,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,8.703703703703704,34,7975.0,Low,0,1,1,0
2,94,volkswagen,four,sedan,fwd,front,97.3,-0.2029670091639199,65.5,55.7,2264,ohc,four,97,idi,3.01,3.4,23.0,52,4800.0,6.351351351351352,46,7995.0,Low,1,0,1,0
2,94,volkswagen,four,sedan,fwd,front,97.3,-0.2029670091639199,65.5,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,8.703703703703704,34,8195.0,Low,0,1,1,0
2,94,volkswagen,four,sedan,fwd,front,97.3,-0.2029670091639199,65.5,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250.0,8.703703703703704,34,8495.0,Low,0,1,1,0
2,94,volkswagen,four,sedan,fwd,front,97.3,-0.2029670091639199,65.5,55.7,2319,ohc,four,97,idi,3.01,3.4,23.0,68,4500.0,6.351351351351352,42,9495.0,Low,1,0,0,1
2,94,volkswagen,four,sedan,fwd,front,97.3,-0.2029670091639199,65.5,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100,5500.0,9.038461538461538,32,9995.0,Low,0,1,1,0
3,122,volkswagen,two,convertible,fwd,front,94.5,-1.2092828508988591,64.2,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500.0,9.791666666666666,29,11595.0,Low,0,1,1,0
3,256,volkswagen,two,hatchback,fwd,front,94.5,-0.6898940293582462,64.0,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500.0,9.791666666666666,29,9980.0,Low,0,1,1,0
0,122,volkswagen,four,sedan,fwd,front,100.4,0.48684626944470993,66.9,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,24,13295.0,Low,0,1,1,0
0,122,volkswagen,four,sedan,fwd,front,100.4,0.48684626944470993,66.9,55.1,2579,ohc,four,97,idi,3.01,3.4,23.0,68,4500.0,7.121212121212121,38,13845.0,Low,1,0,0,1
0,122,volkswagen,four,wagon,fwd,front,100.4,0.7221943292053027,66.9,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88,5500.0,9.4,31,12290.0,Low,0,1,1,0
-2,103,volvo,four,sedan,rwd,front,104.3,1.1847749983899125,67.2,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,10.217391304347826,28,12940.0,Low,0,1,1,0
-1,74,volvo,four,wagon,rwd,front,104.3,1.1847749983899125,67.2,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,10.217391304347826,28,13415.0,Low,0,1,1,0
-2,103,volvo,four,sedan,rwd,front,104.3,1.1847749983899125,67.2,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,9.791666666666666,28,15985.0,Low,0,1,1,0
-1,74,volvo,four,wagon,rwd,front,104.3,1.1847749983899125,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,9.791666666666666,28,16515.0,Low,0,1,1,0
-2,103,volvo,four,sedan,rwd,front,104.3,1.1847749983899125,67.2,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100.0,13.823529411764707,22,18420.0,Medium,0,1,0,1
-1,74,volvo,four,wagon,rwd,front,104.3,1.1847749983899125,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100.0,13.823529411764707,22,18950.0,Medium,0,1,0,1
-1,95,volvo,four,sedan,rwd,front,109.1,1.1847749983899125,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,10.217391304347826,28,16845.0,Low,0,1,1,0
-1,95,volvo,four,sedan,rwd,front,109.1,1.1847749983899125,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300.0,12.368421052631579,25,19045.0,Medium,0,1,0,1
-1,95,volvo,four,sedan,rwd,front,109.1,1.1847749983899125,68.9,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500.0,13.055555555555555,23,21485.0,Medium,0,1,1,0
-1,95,volvo,four,sedan,rwd,front,109.1,1.1847749983899125,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23.0,106,4800.0,9.038461538461538,27,22470.0,Low,1,0,0,1
-1,95,volvo,four,sedan,rwd,front,109.1,1.1847749983899125,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400.0,12.368421052631579,25,22625.0,Low,0,1,0,1
